,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
0,3 BHK Service Apartment,1,Unfurnished,Bachelors,1390 sqft,"26,000"," Hafeezpet, NH "
1,1 BHK Builder Floor,1,Unfurnished,Bachelors/Family,read more,"14,000", Amarnath Residency
2,3 BHK Apartment,1,Semi-Furnished,Family,1650 sqft,"35,000", Nanakram Guda 
3,2 BHK Builder Floor,1,Semi-Furnished,Bachelors,1200 sqft,"22,000", Jubilee Hills 
4,2 BHK Apartment,1,Unfurnished,Bachelors,1295 sqft,"27,000"," Chandanagar, NH "
5,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1630 sqft,"30,000", Gopanapalli 
6,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2075 sqft,"49,000"," Vajras Jasmine County, Gachibowli, Outer Ring Road "
7,2 BHK Apartment,1,Unfurnished,Bachelors/Family,NaN,"8,000", Eastend Colony
8,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1339 sqft,"22,000", Tolichowki 
9,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1800 sqft,"22,000"," Narsingi, Outer Ring Road "
10,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,2240 sqft,"20,000", Osman Nagar 
11,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1616 sqft,"32,000"," Vidyanagar, Adikmet "
12,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1278 sqft,"35,000"," Kukatpally Housing Board Colony, NH "
13,3 BHK Apartment,1,Semi-Furnished,Bachelors,2540 sqft,"45,000"," Narsingi, Outer Ring Road "
14,3 BHK Builder Floor,1,Unfurnished,Bachelors,1550 sqft,"28,000", Puppalaguda 
15,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1834 sqft,"37,000"," My Home Avatar, Narsingi, Outer Ring Road "
16,3 BHK Apartment,1,Semi-Furnished,Bachelors,1575 sqft,"33,000"," Lanco Hills, Manikonda, Outer Ring Road "
17,Studio Apartment,East,Furnished,Bachelors/Family,read more,"10,000", Gachibowli
18,3 BHK Builder Floor,North - East,Furnished,Bachelors,2400 sqft,"25,000", Yapral 
