,Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Postal_code
0,0,3 BHK Service Apartment,1,Unfurnished,Bachelors,1390 sqft,"26,000"," Hafeezpet, NH ",No code
1,1,1 BHK Builder Floor,1,Unfurnished,Bachelors/Family,read more,"14,000", Amarnath Residency,500084
2,2,3 BHK Apartment,1,Semi-Furnished,Family,1650 sqft,"35,000", Nanakram Guda ,500032
3,3,2 BHK Builder Floor,1,Semi-Furnished,Bachelors,1200 sqft,"22,000", Jubilee Hills ,No code
4,4,2 BHK Apartment,1,Unfurnished,Bachelors,1295 sqft,"27,000"," Chandanagar, NH ",500050
5,5,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1630 sqft,"30,000", Gopanapalli ,No code
6,6,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2075 sqft,"49,000"," Vajras Jasmine County, Gachibowli, Outer Ring Road ",500032
7,7,2 BHK Apartment,1,Unfurnished,Bachelors/Family,,"8,000", Eastend Colony,59501
8,8,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1339 sqft,"22,000", Tolichowki ,500008
9,9,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1800 sqft,"22,000"," Narsingi, Outer Ring Road ",No code
10,10,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,2240 sqft,"20,000", Osman Nagar ,No code
11,11,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1616 sqft,"32,000"," Vidyanagar, Adikmet ",No code
12,12,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1278 sqft,"35,000"," Kukatpally Housing Board Colony, NH ",500072
13,13,3 BHK Apartment,1,Semi-Furnished,Bachelors,2540 sqft,"45,000"," Narsingi, Outer Ring Road ",No code
14,14,3 BHK Builder Floor,1,Unfurnished,Bachelors,1550 sqft,"28,000", Puppalaguda ,No code
15,15,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1834 sqft,"37,000"," My Home Avatar, Narsingi, Outer Ring Road ",500089
16,16,3 BHK Apartment,1,Semi-Furnished,Bachelors,1575 sqft,"33,000"," Lanco Hills, Manikonda, Outer Ring Road ",500089
17,17,Studio Apartment,East,Furnished,Bachelors/Family,read more,"10,000", Gachibowli,No code
18,18,3 BHK Builder Floor,North - East,Furnished,Bachelors,2400 sqft,"25,000", Yapral ,No code
19,19,2 BHK Apartment,1,Furnished,Bachelors/Family,1250 sqft,"26,000"," Aditya Imperial Heights, Hafeezpet, NH ",500084
20,20,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,750 sqft,"10,000"," Sai Ram Nagar Colony, Champapet, Koti ",500079
21,21,2 BHK Apartment,2,Unfurnished,Bachelors/Family,950 sqft,"30,000"," Mantri Celestia, Gachibowli, Outer Ring Road ",500032
22,22,3 BHK Apartment,1,Semi-Furnished,Bachelors,1350 sqft,"8,000"," Kistareddypet, Outer Ring Road ",No code
23,23,3 BHK Apartment,2,Semi-Furnished,Family,1750 sqft,"15,000"," Gks Habitat Royale, Yapral ",500094
24,24,3 BHK Apartment,1,Semi-Furnished,Family,2100 sqft,"30,000"," Bikshapathi Nagar, Hafeezpet ",No code
25,25,3 BHK Apartment,East,Semi-Furnished,Family,2025 sqft,"28,000"," Floatilla, Alkapur Township, Manikonda, Outer Ring Road ",No code
